ID,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
0,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7
1,516.0,0.0,0.0,162.0,8.3,801.0,802.0,28,41.37
2,150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28,37.43
3,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,42.22
4,166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95
5,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1
6,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
7,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
8,297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.96
9,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
10,252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
11,313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52
12,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28
13,200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
14,475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19
15,290.4,0.0,96.2,168.1,9.4,961.2,865.0,100,48.97
16,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
17,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
18,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97
19,284.0,119.7,0.0,168.3,7.2,970.4,794.2,28,40.93
20,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06
21,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
22,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
23,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99
24,166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
25,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37
26,252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95
27,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
28,491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
29,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.73
30,200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,43.25
31,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
32,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
33,314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.46
34,236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,13.57
35,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22
36,313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
37,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3
38,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
39,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5
40,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7
41,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
42,149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,32.96
43,173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.1
44,318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06
45,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8
46,288.0,192.0,0.0,192.0,0.0,932.0,717.8,90,50.53
47,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
48,144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.42
49,146.0,173.0,0.0,182.0,3.0,986.0,817.0,28,23.74
50,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24
51,222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89
52,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8
53,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
54,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
55,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
56,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
57,203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.86
58,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
59,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
60,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7
61,203.5,305.3,0.0,203.5,0.0,963.4,630.0,28,41.68
62,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
63,145.0,0.0,134.0,181.0,11.0,979.0,812.0,28,13.2
64,173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,24.28
65,139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
66,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.2
67,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72
